robot_timestamp_iso,camera_timestamp_iso,robot_ip,robot_port,end_x_mm,end_y_mm,end_z_mm,end_rx_rad,end_ry_rad,end_rz_rad,tag_found,quality_ok,max_reproj_error,tag_id,tag_family,tag_size_mm,camera_frame,image_path,cam_fx,cam_fy,cam_cx,cam_cy,tag_t_x_mm,tag_t_y_mm,tag_t_z_mm,tag_r_x_rad,tag_r_y_rad,tag_r_z_rad,reproj_error,error
2026-02-27T17:46:31.600,2026-02-27T17:46:31.496,10.168.1.18,8080,275.806,320.332,-240.231,1.486,1.044,3.035,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-46-31.496.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,63.468029423909336,58.759123381967115,517.7823654170697,-0.03648276499032084,-0.024532931207279753,0.025476355261550357,2.260169100129037e-10,
2026-02-27T17:46:48.684,2026-02-27T17:46:48.591,10.168.1.18,8080,332.526,321.887,-222.48299999999998,1.365,1.156,2.837,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-46-48.591.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,-45.37512942270876,86.83582817187752,505.860932064372,-0.049914936989341185,-0.1557875540629824,0.15364173373374804,5.000359858060304e-09,
2026-02-27T17:47:01.576,2026-02-27T17:47:01.495,10.168.1.18,8080,318.05499999999995,386.315,-229.481,1.482,0.931,3.062,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-47-01.495.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,37.765176928003925,70.06923369103637,449.0761132474324,-0.04048911858447451,0.043839643846318055,-0.09193513178434433,3.7358260228019145e-08,
2026-02-27T17:47:12.021,2026-02-27T17:47:11.941,10.168.1.18,8080,268.822,408.546,-236.30599999999998,1.262,0.961,2.798,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-47-11.941.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,53.52910285415695,117.02211895584409,417.683813820121,-0.1898975565707623,-0.0990580229287501,-0.013018976510105905,7.997443645430436e-09,
2026-02-27T17:47:21.231,2026-02-27T17:47:21.154,10.168.1.18,8080,278.339,452.672,-209.46200000000002,1.584,0.811,3.001,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-47-21.154.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,23.677193799103375,67.81191738585441,383.9771523036848,0.030377108250938846,-0.1627470045300501,-0.2064105070170341,5.123446647400643e-09,
2026-02-27T17:47:31.478,2026-02-27T17:47:31.396,10.168.1.18,8080,251.295,405.812,-251.846,1.438,0.882,2.859,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-47-31.396.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,28.862805703768327,64.63084072041899,434.12978565118993,-0.05911294505070867,-0.17507364478667292,-0.11919184995818675,2.6597292450028565e-08,
2026-02-27T17:47:50.112,2026-02-27T17:47:50.027,10.168.1.18,8080,420.798,405.404,-145.385,1.63,1.341,-3.034,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-47-50.027.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,-69.44047969295973,94.40712945778911,435.75659063646,0.027575940319425278,0.023497628945438328,0.3229444423352316,1.5573899776069773e-09,
2026-02-27T17:47:59.849,2026-02-27T17:47:59.762,10.168.1.18,8080,389.022,431.61100000000005,-167.202,1.722,1.13,-2.965,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-47-59.762.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,-23.738203785315907,74.5941418996705,410.9213763695126,0.09435778931312228,0.0169995136005039,0.11769399335791587,4.916106931466723e-10,
2026-02-27T17:48:10.489,2026-02-27T17:48:10.408,10.168.1.18,8080,378.236,456.18399999999997,-180.949,1.731,1.142,-2.975,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-48-10.408.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,-20.638403308980934,61.759094175227204,383.6853277067489,0.10059489019919009,0.003318524040728075,0.12984001326811948,7.824100006616678e-10,
2026-02-27T17:48:22.373,2026-02-27T17:48:22.288,10.168.1.18,8080,340.215,519.0360000000001,-185.139,1.648,0.921,-3.098,True,True,2.0,0,tagStandard41h12,31.0,opencv,data/remote_images/tag_0_2026-02-27T17-48-22.288.png,908.5216064453125,907.8084716796875,644.82373046875,380.55242919921875,10.792604521745218,78.7888911858248,316.29703707742686,0.05789275867059592,-0.035117010632228926,-0.09491098947420709,1.4660463633305135e-10,
